,pearson_corr,el_dist,rmse,cosine_sim
5 7,0.8912910999049044,6425.07628999843,315.39459061416176,0.9267632965733016
5 8,0.6391529743884539,14325.071167652188,373.24621712796966,0.667561181537733
5 9,0.38119793402515323,24263.22697835348,703.3558116755211,0.4844095794575693
5 10,0.8622281089497948,7079.885143227959,194.71996580779953,0.8711159434459174
5 11,0.19030111812668926,77990.31672648025,849.227180312735,0.24644718717010344
5 12,0.7519458559520901,67344.70920028536,458.08487783238286,0.793166413038273
5 13,0.9654164132417526,0.3973663297261106,0.044426906261858926,0.9764955915426017
5 14,0.8959706229650395,37213.30085691939,314.11739387277424,0.9358990952763241
5 15,0.6159720698887549,14363.430446933633,629.8780929120943,0.7232204021256227
5 16,0.3049136160080876,95810.70834456345,663.7376527041173,0.5145791169671288
5 17,0.740300147585689,5305.3462200312615,499.0849903183444,0.8180602566664033
6 7,0.9060800328996612,6935.157055784679,144.98674190110592,0.9277320894691116
6 8,0.6995103054311403,13797.955483577993,594.320015753961,0.7690178442926628
6 9,0.8842948830502536,5084.180200307617,187.40536854433796,0.8902544108702997
6 10,0.8866372621561891,9750.783270999309,317.866450141248,0.904948117141285
6 12,0.8674240401886878,4498.89512681725,236.13075568398497,0.8799644598402514
6 14,0.910743552959458,3019.9190069271717,193.72789462003004,0.9124510901302932
6 15,0.49739529297754964,7839.259664706865,448.8747026265045,0.584123963188897
6 17,0.7276234594760979,4257.267826458655,341.9519806526321,0.7756849131621942
7 8,0.13281561814130388,17463.206804561985,808.9674337054136,0.23569608019146726
7 9,0.6222178023175894,15349.633154170167,431.40100027605234,0.6847372905570432
7 10,0.9578986744137005,3094.8275665697433,199.77026041180403,0.9716727510716112
7 13,0.6021667130975187,310.1382394997431,22.98897580996615,0.8132654982453547
7 14,0.9075537836446448,2283.38659129373,322.91962855484644,0.9393908575139178
7 15,0.755192196838597,5217.410117155829,303.2558032387393,0.8052691651896303
7 16,0.47742776165973955,15292.717202923748,752.5054188805235,0.5736654171629614
7 17,0.8844776844212945,10409.206027541199,473.1457285245999,0.9388352846401448
8 9,0.5340036473833786,15665.101524516207,461.73793042958204,0.6058322673249704
8 10,0.07087106067545983,3560.829152711486,167.11799265406006,0.10809475253494759
8 11,-0.05688144477292986,1395.7768342038064,122.89129787030512,0.10682222233751835
8 12,0.8629762766013365,5175.0203061340735,145.7896810011894,0.8737266908891363
8 13,0.600503675836345,7030.62485892257,271.0106721302125,0.7229742741912262
8 14,0.7140406544154992,10225.911838158981,434.85000411544706,0.746115954631285
8 15,0.2505852673467626,11837.470350784411,469.75568169146965,0.31345953916012215
8 16,0.014870979221591566,16531.217346027483,450.25639492770534,0.13762000737991614
8 17,0.2580435114918146,14681.960563123035,419.82744379695555,0.33225481960384745
9 10,0.705683985881031,4381.92511164899,221.88740320897108,0.7497991751755014
9 11,0.9999841832184008,8.763298465760483,3.3122154864337303,0.9999678348604475
9 12,-0.20306641033789385,28113.99542867929,887.7120259637569,0.005360215911651619
9 13,0.6284536290378356,11049.88222456692,372.2799911372287,0.6866328558266763
9 14,0.5736045120746207,18896.437933380465,516.7901670084332,0.638871616571831
9 15,0.3231155103183479,12594.198360848539,597.6942037146204,0.436858828105938
9 16,0.7277875055476642,30560.477364763123,406.06776155061533,0.7820688991805125
9 17,0.5943156969289776,9469.496615792204,280.0939820972357,0.6383241149637254
10 11,0.9467746666971013,1095.7963879754304,52.1807803797824,0.97319815625211
10 12,0.7233487009786279,23637.476629904893,327.69830839371366,0.754375811379846
10 13,0.9494188160209104,65.54433537690348,11.966703667537967,0.9747064541651399
10 14,0.8649079625198025,3284.6507470962574,127.18218484335466,0.876485397920352
10 15,0.5417460676902756,22898.57356028537,550.6947455476056,0.6611351170763526
10 16,0.12061491746670551,10282.819078195434,527.4974886318367,0.3209482827298622
10 17,0.8706009963874756,3585.2482306947727,146.12380903743227,0.8792606472227952
11 12,0.17120035958887214,68831.44157698868,748.8316816154223,0.224356715438024
11 13,0.9743012944441215,3265.8367117937787,100.02668231316011,0.9641219438612768
11 14,0.20804441243292573,49665.0698486864,620.2805483621729,0.25921442167444936
11 15,0.28117223681351533,16284.340626159845,621.7390142103467,0.3487728097686128
11 16,0.1603117355907582,73530.22279459039,917.9094948687247,0.22119635717015063
11 17,0.5687367127091648,5918.197320274138,220.10012659808353,0.5915041988921486
12 13,0.33537025563764605,9536.907032513212,298.02834476603795,0.44693878915585017
12 14,0.6268579692986718,54923.10496521754,499.7347967108697,0.7169007591379657
12 15,0.2343239977679366,10814.204261160414,538.0267711190974,0.3025791232469561
12 16,-0.14412807544997003,117048.41423744107,947.426618186634,0.14493285722081717
12 17,0.25725099605332624,15010.361374670498,576.8950514959134,0.4178180908636261
13 14,0.9383352888572307,9962.169498658415,247.81822865851808,0.9543435151194437
13 15,0.6170959483472743,9014.047694681896,330.2491551630466,0.6669748752006609
13 16,0.6504355404630121,3653.3876099176773,223.5836907573072,0.6674064501647613
13 17,0.5482621094374787,2013.3466927233371,79.21406613820936,0.5908952358495081
14 15,0.6236959158120711,11483.969500233796,497.8932221681824,0.6987886708868637
14 16,0.43642208318683884,62323.17738357777,565.0586531311714,0.6181204948857884
14 17,0.7917094471149365,6507.287962892068,269.5043307155611,0.8150556293378263
15 16,0.8156732169054401,11743.160297705219,382.40991395100747,0.8625401373159705
15 17,0.726800743054045,10441.41371871166,375.0666529071436,0.7928984135417845
16 17,0.7002461511925988,5368.595153454952,381.5294441799514,0.7606142351233295
