Date,Time,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-01-01,11:20:00,2024-01-01 11:20:00,0.25,1017.09,18.8,86.15,6868.25,10.26
2024-01-01,11:30:00,2024-01-01 11:30:00,0.17,1016.87,18.94,84.1,8485.08,15.88
2024-01-01,11:40:00,2024-01-01 11:40:00,0.06,1016.56,19.38,84.1,10389.83,22.82
2024-01-01,11:50:00,2024-01-01 11:50:00,0.15,1016.36,19.77,80.9,9784.75,20.51
2024-01-01,12:00:00,2024-01-01 12:00:00,0.43,1016.17,19.87,80.09,11379.0,27.05
2024-01-01,12:10:00,2024-01-01 12:10:00,0.97,1015.97,19.96,77.42,9266.17,18.22
2024-01-01,12:20:00,2024-01-01 12:20:00,0.4,1015.82,19.81,78.0,9845.92,20.46
2024-01-01,12:30:00,2024-01-01 12:30:00,1.27,1015.67,20.04,76.07,16415.58,55.61
2024-01-01,12:40:00,2024-01-01 12:40:00,0.75,1015.51,20.35,74.86,13374.75,37.65
2024-01-01,12:50:00,2024-01-01 12:50:00,1.37,1015.42,20.29,74.1,10362.5,23.23
2024-01-01,13:00:00,2024-01-01 13:00:00,0.39,1015.34,19.9,75.45,7872.25,13.66
2024-01-01,13:10:00,2024-01-01 13:10:00,0.14,1015.27,19.88,77.24,6294.5,8.64
2024-01-01,13:20:00,2024-01-01 13:20:00,0.32,1015.05,19.67,76.37,6342.5,8.51
2024-01-01,13:30:00,2024-01-01 13:30:00,0.04,1015.0,19.49,77.68,5682.0,6.83
2024-01-01,13:40:00,2024-01-01 13:40:00,0.11,1014.94,19.31,78.29,4557.08,4.3
2024-01-01,13:50:00,2024-01-01 13:50:00,0.0,1015.0,19.04,80.3,3202.0,2.37
2024-01-01,14:00:00,2024-01-01 14:00:00,0.11,1014.91,18.23,86.75,3045.08,2.15
2024-01-01,14:10:00,2024-01-01 14:10:00,0.26,1014.93,17.87,89.61,3755.25,3.02
2024-01-01,14:20:00,2024-01-01 14:20:00,0.04,1014.91,17.96,89.18,4500.33,4.3
2024-01-01,14:30:00,2024-01-01 14:30:00,0.08,1014.79,18.2,88.3,4435.83,4.3
2024-01-01,14:40:00,2024-01-01 14:40:00,0.02,1014.74,18.44,87.16,4597.33,4.65
2024-01-01,14:50:00,2024-01-01 14:50:00,0.01,1014.66,18.71,85.76,4781.25,5.03
2024-01-01,15:00:00,2024-01-01 15:00:00,0.07,1014.56,18.82,84.23,3589.83,2.98
2024-01-01,15:10:00,2024-01-01 15:10:00,0.0,1014.54,18.7,84.73,3289.67,2.45
2024-01-01,15:20:00,2024-01-01 15:20:00,0.14,1014.59,18.58,85.6,2496.08,1.49
2024-01-01,15:30:00,2024-01-01 15:30:00,0.23,1014.63,18.43,84.87,2351.25,1.33
2024-01-01,15:40:00,2024-01-01 15:40:00,0.05,1014.77,18.4,84.3,2545.17,1.52
2024-01-01,15:50:00,2024-01-01 15:50:00,0.02,1014.96,18.29,86.6,2437.0,1.46
2024-01-01,16:00:00,2024-01-01 16:00:00,0.0,1015.07,18.2,87.58,1810.67,0.86
2024-01-01,16:10:00,2024-01-01 16:10:00,0.07,1015.17,17.98,89.35,1130.0,0.36
2024-01-01,16:20:00,2024-01-01 16:20:00,0.08,1015.32,17.68,90.42,1000.58,0.29
2024-01-01,16:30:00,2024-01-01 16:30:00,0.0,1015.47,17.5,91.18,795.42,0.21
2024-01-01,16:40:00,2024-01-01 16:40:00,0.02,1015.58,17.5,91.84,663.17,0.15
2024-01-01,16:50:00,2024-01-01 16:50:00,0.16,1015.69,17.44,93.07,368.67,0.06
2024-01-01,17:00:00,2024-01-01 17:00:00,0.07,1015.77,16.96,96.79,172.83,0.02
2024-01-02,07:00:00,2024-01-02 07:00:00,0.0,1014.65,12.99,100.0,4352.58,8.3
2024-01-02,07:10:00,2024-01-02 07:10:00,0.07,1014.81,14.44,100.0,8052.67,35.99
2024-01-02,07:20:00,2024-01-02 07:20:00,0.39,1014.85,15.55,100.0,8764.0,28.9
2024-01-02,07:30:00,2024-01-02 07:30:00,0.11,1014.92,16.24,100.0,15173.17,101.45
2024-01-02,07:40:00,2024-01-02 07:40:00,0.06,1014.98,18.97,100.0,25676.25,265.02
2024-01-02,07:50:00,2024-01-02 07:50:00,0.11,1014.9,22.21,90.75,32754.75,386.96
2024-01-02,08:00:00,2024-01-02 08:00:00,0.29,1014.86,24.48,71.4,39953.71,513.66
2024-01-02,08:10:00,2024-01-02 08:10:00,0.42,1014.87,25.97,63.99,46366.74,635.5
2024-01-02,08:20:00,2024-01-02 08:20:00,0.32,1014.81,27.1,59.17,52176.04,767.84
2024-01-02,08:30:00,2024-01-02 08:30:00,0.72,1014.8,27.78,55.52,57116.18,908.43
2024-01-02,08:40:00,2024-01-02 08:40:00,0.98,1014.8,28.2,52.96,60843.08,1006.15
2024-01-02,08:50:00,2024-01-02 08:50:00,0.1,1014.85,29.01,52.95,66731.44,1164.03
2024-01-02,09:00:00,2024-01-02 09:00:00,0.16,1014.78,31.01,47.78,70884.74,1277.55
2024-01-02,09:10:00,2024-01-02 09:10:00,0.08,1014.7,32.07,45.06,75632.26,1369.8
2024-01-02,09:20:00,2024-01-02 09:20:00,0.67,1014.66,32.71,41.56,81495.07,1462.67
2024-01-02,09:30:00,2024-01-02 09:30:00,0.71,1014.54,32.2,41.67,89049.71,1540.4
2024-01-02,09:40:00,2024-01-02 09:40:00,0.22,1014.44,32.89,39.65,97289.46,1594.3
2024-01-02,09:50:00,2024-01-02 09:50:00,0.47,1014.27,33.88,37.9,102983.39,1631.14
2024-01-02,10:00:00,2024-01-02 10:00:00,0.46,1014.15,34.5,36.79,106164.94,1659.6
2024-01-02,10:10:00,2024-01-02 10:10:00,0.19,1014.0,34.81,35.28,106549.29,1671.31
2024-01-02,10:20:00,2024-01-02 10:20:00,0.12,1013.71,35.57,34.22,105218.34,1674.38
2024-01-02,10:30:00,2024-01-02 10:30:00,0.03,1013.55,37.08,32.38,105219.6,1669.7
2024-01-02,10:40:00,2024-01-02 10:40:00,0.17,1013.4,37.96,29.79,105003.8,1689.69
2024-01-02,10:50:00,2024-01-02 10:50:00,0.95,1013.25,37.9,29.29,106520.36,1708.54
2024-01-02,11:00:00,2024-01-02 11:00:00,0.36,1013.1,37.48,29.8,110266.49,1710.23
2024-01-02,11:10:00,2024-01-02 11:10:00,1.52,1012.9,37.33,29.07,111173.91,1734.2
2024-01-02,11:20:00,2024-01-02 11:20:00,2.43,1012.66,36.94,29.58,111791.32,1727.19
2024-01-02,11:30:00,2024-01-02 11:30:00,0.73,1012.47,37.33,29.77,115772.11,1760.06
2024-01-02,11:40:00,2024-01-02 11:40:00,1.31,1012.24,38.76,28.02,117015.55,1766.71
2024-01-02,11:50:00,2024-01-02 11:50:00,0.0,1011.97,39.27,26.87,112245.02,1728.95
2024-01-02,12:00:00,2024-01-02 12:00:00,0.0,1011.72,38.15,27.69,108139.88,1705.11
2024-01-02,12:10:00,2024-01-02 12:10:00,0.53,1011.46,39.16,27.13,112015.2,1703.99
2024-01-02,12:20:00,2024-01-02 12:20:00,0.44,1011.28,39.46,25.97,112181.24,1733.1
2024-01-02,12:30:00,2024-01-02 12:30:00,1.31,1011.13,38.74,27.29,105787.42,1664.08
2024-01-02,12:40:00,2024-01-02 12:40:00,1.3,1010.93,37.61,29.05,108307.89,1791.86
2024-01-02,12:50:00,2024-01-02 12:50:00,2.67,1010.77,36.18,31.07,108356.05,1791.78
2024-01-02,13:00:00,2024-01-02 13:00:00,2.81,1010.64,35.78,32.03,84260.32,1329.92
2024-01-02,13:10:00,2024-01-02 13:10:00,1.98,1010.51,33.88,34.45,44256.17,417.97
2024-01-02,13:20:00,2024-01-02 13:20:00,3.33,1010.49,31.71,38.28,37400.8,291.34
2024-01-02,13:30:00,2024-01-02 13:30:00,2.85,1010.44,29.72,42.1,30432.31,195.89
2024-01-02,13:40:00,2024-01-02 13:40:00,1.21,1010.3,28.73,44.72,27421.75,160.57
2024-01-02,13:50:00,2024-01-02 13:50:00,1.49,1010.24,28.55,45.71,23782.67,122.99
2024-01-02,14:00:00,2024-01-02 14:00:00,1.88,1010.22,27.71,47.44,21780.62,105.78
2024-01-02,14:10:00,2024-01-02 14:10:00,3.7,1010.17,27.12,48.79,18929.33,81.01
2024-01-02,14:20:00,2024-01-02 14:20:00,3.83,1010.11,26.8,49.93,15685.08,56.43
2024-01-02,14:30:00,2024-01-02 14:30:00,2.95,1010.05,26.07,51.61,12507.5,36.42
2024-01-02,14:40:00,2024-01-02 14:40:00,3.32,1010.04,25.55,53.08,10567.58,26.28
2024-01-02,14:50:00,2024-01-02 14:50:00,3.14,1009.98,25.21,54.29,9687.0,22.13
2024-01-02,15:00:00,2024-01-02 15:00:00,3.1,1009.94,24.81,55.6,9726.58,22.02
2024-01-02,15:10:00,2024-01-02 15:10:00,3.06,1009.96,24.54,56.47,9151.08,19.7
2024-01-02,15:20:00,2024-01-02 15:20:00,3.53,1010.01,24.49,56.87,8138.25,15.99
2024-01-02,15:30:00,2024-01-02 15:30:00,2.69,1010.09,24.32,58.04,7892.42,14.8
2024-01-02,15:40:00,2024-01-02 15:40:00,1.01,1010.16,24.3,58.36,7334.17,12.8
2024-01-02,15:50:00,2024-01-02 15:50:00,0.42,1010.2,24.3,58.11,6381.58,9.86
2024-01-02,16:00:00,2024-01-02 16:00:00,1.33,1010.25,24.25,58.25,5305.17,6.89
2024-01-02,16:10:00,2024-01-02 16:10:00,3.54,1010.39,23.99,59.04,4407.25,4.8
2024-01-02,16:20:00,2024-01-02 16:20:00,0.0,1010.38,23.57,60.38,3978.5,3.92
2024-01-02,16:30:00,2024-01-02 16:30:00,0.0,1010.36,23.26,61.26,3725.84,3.5
2024-01-02,16:40:00,2024-01-02 16:40:00,1.5,1010.35,23.05,62.34,2538.58,1.72
2024-01-02,16:50:00,2024-01-02 16:50:00,0.0,1010.42,22.65,63.57,1448.0,0.58
2024-01-02,17:00:00,2024-01-02 17:00:00,0.0,1010.55,22.18,65.77,711.75,0.13
2024-01-03,07:00:00,2024-01-03 07:00:00,0.71,1011.79,15.44,100.0,1389.42,0.56
2024-01-03,07:10:00,2024-01-03 07:10:00,1.7,1011.84,15.65,100.0,2028.33,1.15
2024-01-03,07:20:00,2024-01-03 07:20:00,1.1,1011.93,15.86,100.0,2586.08,1.78
2024-01-03,07:30:00,2024-01-03 07:30:00,1.06,1011.96,16.17,100.0,3726.58,3.58
2024-01-03,07:40:00,2024-01-03 07:40:00,0.71,1012.05,16.48,100.0,5264.83,6.63
2024-01-03,07:50:00,2024-01-03 07:50:00,0.38,1012.19,16.9,100.0,6447.67,9.9
2024-01-03,08:00:00,2024-01-03 08:00:00,0.42,1012.33,17.52,100.0,9641.75,21.8
2024-01-03,08:10:00,2024-01-03 08:10:00,0.2,1012.42,18.38,100.0,13379.0,40.93
2024-01-03,08:20:00,2024-01-03 08:20:00,0.76,1012.56,19.48,100.0,13697.58,45.73
2024-01-03,08:30:00,2024-01-03 08:30:00,0.28,1012.55,20.29,98.06,16763.25,64.55
2024-01-03,08:40:00,2024-01-03 08:40:00,0.07,1012.56,20.99,92.8,19599.42,87.15
2024-01-03,08:50:00,2024-01-03 08:50:00,0.16,1012.64,22.33,85.58,24937.17,140.44
2024-01-03,09:00:00,2024-01-03 09:00:00,0.26,1012.62,23.43,77.24,27053.08,158.7
2024-01-03,09:10:00,2024-01-03 09:10:00,0.5,1012.58,24.96,71.15,62447.72,1029.72
2024-01-03,09:20:00,2024-01-03 09:20:00,0.36,1012.39,28.51,58.7,60496.41,882.33
2024-01-03,09:30:00,2024-01-03 09:30:00,0.56,1012.34,28.97,55.0,56866.24,781.44
2024-01-03,09:40:00,2024-01-03 09:40:00,0.19,1012.29,30.12,54.29,89005.5,1430.35
2024-01-03,09:50:00,2024-01-03 09:50:00,0.49,1012.14,33.26,45.19,71760.0,1030.75
2024-01-03,10:00:00,2024-01-03 10:00:00,0.22,1012.01,33.13,44.45,58968.46,721.26
2024-01-03,10:10:00,2024-01-03 10:10:00,0.21,1011.92,32.12,45.62,73779.69,1056.06
2024-01-03,10:20:00,2024-01-03 10:20:00,0.49,1011.75,34.41,41.31,103910.2,1704.66
2024-01-03,10:30:00,2024-01-03 10:30:00,0.31,1011.65,36.03,38.21,85941.83,1370.82
2024-01-03,10:40:00,2024-01-03 10:40:00,0.23,1011.6,37.98,35.29,103057.61,1598.03
2024-01-03,10:50:00,2024-01-03 10:50:00,1.15,1011.45,37.61,34.42,48948.67,520.26
2024-01-03,11:00:00,2024-01-03 11:00:00,0.32,1011.31,35.62,37.43,49706.23,533.71
2024-01-03,11:10:00,2024-01-03 11:10:00,0.8,1011.23,35.11,38.05,46459.28,463.55
2024-01-03,11:20:00,2024-01-03 11:20:00,0.38,1011.21,33.63,40.73,36716.87,295.84
2024-01-03,11:30:00,2024-01-03 11:30:00,0.0,1011.14,30.83,47.04,25478.75,149.17
2024-01-03,11:40:00,2024-01-03 11:40:00,0.81,1011.06,28.52,53.43,23165.25,116.22
2024-01-03,11:50:00,2024-01-03 11:50:00,0.96,1010.94,27.2,57.9,18032.75,70.75
2024-01-03,12:00:00,2024-01-03 12:00:00,0.67,1010.84,25.68,63.04,14209.92,44.42
2024-01-03,12:10:00,2024-01-03 12:10:00,0.72,1010.77,24.74,66.98,12200.0,33.39
2024-01-03,12:20:00,2024-01-03 12:20:00,0.48,1010.67,23.59,71.64,11248.25,27.95
2024-01-03,12:30:00,2024-01-03 12:30:00,0.0,1010.53,22.67,76.32,10324.5,23.36
2024-01-03,12:40:00,2024-01-03 12:40:00,1.2,1010.56,22.18,79.55,9463.33,19.22
2024-01-03,12:50:00,2024-01-03 12:50:00,0.21,1010.52,21.71,81.1,6845.5,10.22
2024-01-03,13:00:00,2024-01-03 13:00:00,1.15,1010.46,21.31,83.55,4715.34,4.92
2024-01-03,13:10:00,2024-01-03 13:10:00,0.46,1010.44,21.05,84.57,5141.63,5.86
2024-01-03,13:20:00,2024-01-03 13:20:00,0.0,1010.44,20.82,84.07,5410.42,6.28
2024-01-03,13:30:00,2024-01-03 13:30:00,1.06,1010.5,20.55,84.74,3648.08,2.96
2024-01-03,13:40:00,2024-01-03 13:40:00,0.22,1010.57,20.21,86.1,4573.33,4.49
2024-01-03,13:50:00,2024-01-03 13:50:00,2.19,1010.61,20.0,87.58,5202.83,5.93
2024-01-03,14:00:00,2024-01-03 14:00:00,1.13,1010.66,19.96,87.86,6338.75,8.69
2024-01-03,14:10:00,2024-01-03 14:10:00,0.0,1010.8,19.6,89.45,5172.42,6.3
2024-01-03,14:20:00,2024-01-03 14:20:00,0.0,1010.81,19.35,89.87,6848.75,10.75
2024-01-03,14:30:00,2024-01-03 14:30:00,0.31,1010.85,19.35,86.97,5038.83,5.72
2024-01-03,14:40:00,2024-01-03 14:40:00,0.0,1011.01,19.22,87.61,4456.0,4.66
2024-01-03,14:50:00,2024-01-03 14:50:00,0.0,1011.06,19.09,87.6,4097.42,4.04
2024-01-03,15:00:00,2024-01-03 15:00:00,0.0,1011.14,19.09,86.13,3497.34,2.93
2024-01-03,15:10:00,2024-01-03 15:10:00,0.0,1011.27,19.0,86.57,2998.5,2.14
2024-01-03,15:20:00,2024-01-03 15:20:00,0.0,1011.43,18.8,88.49,2011.92,1.02
2024-01-03,15:30:00,2024-01-03 15:30:00,0.0,1011.57,18.7,88.0,1997.92,1.0
2024-01-03,15:40:00,2024-01-03 15:40:00,0.0,1011.76,18.62,87.36,1356.92,0.49
2024-01-03,15:50:00,2024-01-03 15:50:00,0.0,1011.92,18.51,87.75,1372.67,0.52
2024-01-03,16:00:00,2024-01-03 16:00:00,0.0,1012.12,18.47,88.2,957.83,0.26
2024-01-03,16:10:00,2024-01-03 16:10:00,0.0,1012.3,18.25,88.96,669.42,0.14
2024-01-03,16:20:00,2024-01-03 16:20:00,0.0,1012.43,18.15,88.8,478.25,0.08
2024-01-03,16:30:00,2024-01-03 16:30:00,0.0,1012.66,18.02,89.72,367.42,0.06
2024-01-03,16:40:00,2024-01-03 16:40:00,0.0,1012.82,17.81,89.19,261.25,0.03
2024-01-03,16:50:00,2024-01-03 16:50:00,0.0,1013.03,17.71,89.97,186.42,0.02
2024-01-03,17:00:00,2024-01-03 17:00:00,0.0,1013.22,17.21,95.27,125.66,0.01
2024-01-04,07:00:00,2024-01-04 07:00:00,3.29,1016.18,14.52,100.0,1572.0,0.67
2024-01-04,07:10:00,2024-01-04 07:10:00,3.43,1016.26,14.73,100.0,2356.58,1.42
2024-01-04,07:20:00,2024-01-04 07:20:00,3.48,1016.39,14.98,100.0,3137.92,2.45
2024-01-04,07:30:00,2024-01-04 07:30:00,3.65,1016.5,15.21,100.0,4038.75,4.0
2024-01-04,07:40:00,2024-01-04 07:40:00,3.96,1016.54,15.53,98.97,5088.67,6.24
2024-01-04,07:50:00,2024-01-04 07:50:00,0.8,1016.66,15.78,95.63,5937.08,8.42
2024-01-04,08:00:00,2024-01-04 08:00:00,0.0,1016.82,16.03,92.73,6521.33,9.97
2024-01-04,08:10:00,2024-01-04 08:10:00,0.0,1016.91,16.3,90.58,7214.08,12.07
2024-01-04,08:20:00,2024-01-04 08:20:00,0.0,1017.07,16.62,89.8,7620.83,13.51
2024-01-04,08:30:00,2024-01-04 08:30:00,0.0,1017.2,16.83,89.07,8065.92,14.96
2024-01-04,08:40:00,2024-01-04 08:40:00,0.0,1017.28,17.1,88.83,8736.17,17.52
2024-01-04,08:50:00,2024-01-04 08:50:00,0.0,1017.34,17.45,87.42,9704.17,21.51
2024-01-04,09:00:00,2024-01-04 09:00:00,0.0,1017.35,17.66,86.06,10590.0,25.63
2024-01-04,09:10:00,2024-01-04 09:10:00,0.0,1017.36,17.84,84.15,11364.92,29.53
2024-01-04,09:20:00,2024-01-04 09:20:00,0.0,1017.32,18.16,80.32,12011.75,32.91
2024-01-04,09:30:00,2024-01-04 09:30:00,0.0,1017.3,18.28,80.31,12240.33,34.16
2024-01-04,09:40:00,2024-01-04 09:40:00,0.0,1017.25,18.73,80.0,13402.42,41.42
2024-01-04,09:50:00,2024-01-04 09:50:00,0.0,1017.08,19.18,77.97,15764.75,57.31
2024-01-04,10:00:00,2024-01-04 10:00:00,0.0,1016.95,19.88,75.4,18355.58,76.9
2024-01-04,10:10:00,2024-01-04 10:10:00,0.0,1016.81,20.56,73.03,20712.42,97.83
2024-01-04,10:20:00,2024-01-04 10:20:00,0.0,1016.64,21.37,70.07,22851.42,117.99
2024-01-04,10:30:00,2024-01-04 10:30:00,0.0,1016.54,22.24,65.76,25700.67,147.2
2024-01-04,10:40:00,2024-01-04 10:40:00,0.0,1016.39,23.24,62.42,29497.58,193.33
2024-01-04,10:50:00,2024-01-04 10:50:00,0.5,1016.23,24.47,57.28,33309.41,247.84
2024-01-04,11:00:00,2024-01-04 11:00:00,0.6,1016.04,25.91,54.3,43835.63,425.07
2024-01-04,11:10:00,2024-01-04 11:10:00,1.3,1015.78,28.45,48.67,49166.45,529.18
2024-01-04,11:20:00,2024-01-04 11:20:00,0.96,1015.61,30.33,43.26,51994.55,601.08
2024-01-04,11:30:00,2024-01-04 11:30:00,0.99,1015.39,31.91,38.31,74543.72,1109.46
2024-01-04,11:40:00,2024-01-04 11:40:00,2.3,1015.09,33.8,33.23,73197.14,1080.19
2024-01-04,11:50:00,2024-01-04 11:50:00,4.49,1014.82,32.79,33.15,70196.72,1035.38
2024-01-04,12:00:00,2024-01-04 12:00:00,4.22,1014.63,31.86,33.63,60935.98,821.69
2024-01-04,12:10:00,2024-01-04 12:10:00,2.77,1014.45,30.95,34.51,85285.8,1381.83
2024-01-04,12:20:00,2024-01-04 12:20:00,3.51,1014.26,31.04,34.37,48102.52,522.7
2024-01-04,12:30:00,2024-01-04 12:30:00,3.55,1014.04,30.04,35.72,62282.56,887.83
2024-01-04,12:40:00,2024-01-04 12:40:00,3.56,1013.86,28.22,38.13,35363.83,296.63
2024-01-04,12:50:00,2024-01-04 12:50:00,3.71,1013.67,26.52,41.53,35890.83,360.93
2024-01-04,13:00:00,2024-01-04 13:00:00,3.33,1013.49,26.3,42.56,47234.28,539.44
2024-01-04,13:10:00,2024-01-04 13:10:00,3.89,1013.49,26.97,41.93,38806.2,346.62
2024-01-04,13:20:00,2024-01-04 13:20:00,4.16,1013.48,25.77,43.85,30748.92,224.31
2024-01-04,13:30:00,2024-01-04 13:30:00,3.63,1013.47,25.39,45.49,31456.92,228.43
2024-01-04,13:40:00,2024-01-04 13:40:00,3.5,1013.5,25.04,47.07,22098.92,119.38
2024-01-04,13:50:00,2024-01-04 13:50:00,3.77,1013.49,23.4,51.47,13436.25,48.05
2024-01-04,14:00:00,2024-01-04 14:00:00,3.85,1013.48,22.47,53.59,8502.42,20.29
2024-01-04,14:10:00,2024-01-04 14:10:00,4.17,1013.45,21.61,56.2,6417.25,11.9
2024-01-04,14:20:00,2024-01-04 14:20:00,3.66,1013.45,20.93,58.03,4917.42,6.89
2024-01-04,14:30:00,2024-01-04 14:30:00,3.49,1013.39,20.42,59.98,4155.58,4.81
2024-01-04,14:40:00,2024-01-04 14:40:00,3.39,1013.44,20.06,61.79,3771.17,3.91
2024-01-04,14:50:00,2024-01-04 14:50:00,3.21,1013.47,19.72,63.0,3234.75,2.89
2024-01-04,15:00:00,2024-01-04 15:00:00,3.12,1013.53,19.55,63.94,3109.42,2.64
2024-01-04,15:10:00,2024-01-04 15:10:00,3.13,1013.62,19.36,64.38,3105.5,2.62
2024-01-04,15:20:00,2024-01-04 15:20:00,3.13,1013.68,19.24,64.8,3208.25,2.78
2024-01-04,15:30:00,2024-01-04 15:30:00,3.26,1013.75,19.2,65.82,3489.41,3.28
2024-01-04,15:40:00,2024-01-04 15:40:00,3.45,1013.84,19.2,66.45,3775.25,3.69
2024-01-04,15:50:00,2024-01-04 15:50:00,3.9,1013.95,19.21,66.68,4288.92,4.63
2024-01-04,16:00:00,2024-01-04 16:00:00,4.49,1014.07,19.3,67.02,4503.08,5.09
2024-01-04,16:10:00,2024-01-04 16:10:00,4.22,1014.14,19.37,67.06,3683.61,3.48
2024-01-04,16:20:00,2024-01-04 16:20:00,1.34,1014.25,19.25,67.51,2918.83,2.25
2024-01-04,16:30:00,2024-01-04 16:30:00,0.58,1014.39,19.02,68.53,2238.42,1.35
2024-01-04,16:40:00,2024-01-04 16:40:00,2.18,1014.58,18.78,69.59,1704.33,0.82
2024-01-04,16:50:00,2024-01-04 16:50:00,3.49,1014.76,18.53,70.75,1164.25,0.4
2024-01-04,17:00:00,2024-01-04 17:00:00,3.33,1014.85,18.24,71.58,699.75,0.16
2024-01-05,07:00:00,2024-01-05 07:00:00,0.0,1015.32,12.72,100.0,4887.75,16.57
2024-01-05,07:10:00,2024-01-05 07:10:00,0.0,1015.38,14.38,100.0,9335.5,56.8
2024-01-05,07:20:00,2024-01-05 07:20:00,0.0,1015.48,16.42,100.0,13769.75,101.68
2024-01-05,07:30:00,2024-01-05 07:30:00,0.0,1015.55,18.44,97.31,19419.25,172.91
2024-01-05,07:40:00,2024-01-05 07:40:00,1.06,1015.67,19.93,81.47,25855.16,270.8
2024-01-05,07:50:00,2024-01-05 07:50:00,1.01,1015.74,21.46,71.45,32208.08,377.13
2024-01-05,08:00:00,2024-01-05 08:00:00,0.0,1015.74,22.97,63.43,38149.24,484.15
2024-01-05,08:10:00,2024-01-05 08:10:00,0.0,1015.78,24.08,59.47,43991.63,581.81
2024-01-05,08:20:00,2024-01-05 08:20:00,2.14,1015.81,24.87,57.3,50508.18,713.85
2024-01-05,08:30:00,2024-01-05 08:30:00,0.78,1015.86,26.29,53.68,55909.76,860.25
2024-01-05,08:40:00,2024-01-05 08:40:00,1.35,1015.91,27.54,49.21,61080.27,991.46
2024-01-05,08:50:00,2024-01-05 08:50:00,1.55,1015.94,27.1,49.94,66768.28,1132.29
2024-01-05,09:00:00,2024-01-05 09:00:00,0.34,1015.9,28.42,48.55,71229.92,1263.63
2024-01-05,09:10:00,2024-01-05 09:10:00,1.52,1015.82,29.75,44.39,75192.93,1347.49
2024-01-05,09:20:00,2024-01-05 09:20:00,1.25,1015.7,29.25,43.85,81154.42,1444.2
2024-01-05,09:30:00,2024-01-05 09:30:00,1.08,1015.52,29.06,43.9,88249.02,1526.65
2024-01-05,09:40:00,2024-01-05 09:40:00,1.2,1015.36,30.08,42.15,97011.84,1599.92
2024-01-05,09:50:00,2024-01-05 09:50:00,1.67,1015.29,31.0,39.16,100577.02,1646.26
2024-01-05,10:00:00,2024-01-05 10:00:00,0.38,1015.18,30.55,39.55,100477.11,1672.14
2024-01-05,10:10:00,2024-01-05 10:10:00,0.0,1015.04,30.49,39.31,98674.85,1705.18
2024-01-05,10:20:00,2024-01-05 10:20:00,0.0,1014.78,30.26,39.56,99851.26,1732.36
2024-01-05,10:30:00,2024-01-05 10:30:00,0.0,1014.64,31.24,37.73,100138.04,1747.58
